age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,score,an_income,pre_total_duration
30,4,1,2,0,88006,0,0,0,18,1,158,3,48,0,3,2.0,880060,0
30,4,2,2,0,92998,0,0,0,5,4,158,2,343,0,3,2.0,929980,0
60,5,2,2,0,75155,0,0,0,30,0,101,1,527,0,0,3.0,3006200,0
35,4,1,1,0,43980,0,1,0,18,1,48,2,128,0,3,2.0,659700,0
34,7,1,1,0,87839,0,0,0,3,2,101,1,234,0,0,2.0,1229746,0
57,7,0,1,0,2776,0,0,0,18,1,158,2,130,0,3,2.0,102712,0
33,4,1,2,0,41311,1,0,2,16,5,64,3,386,0,3,2.0,537043,0
53,9,0,1,0,78740,0,1,0,27,7,121,4,428,0,3,2.0,2598420,0
42,5,1,0,0,79627,0,0,0,30,1,158,1,524,0,3,3.0,1751794,0
31,0,1,1,0,3245,1,0,0,21,8,1074,1,164,0,3,2.0,35695,0
49,7,1,1,0,89806,0,1,0,9,1,158,2,26,0,3,2.0,2604374,0
32,6,2,1,0,-3882,0,1,0,7,4,271,4,183,0,3,2.0,-46584,0
40,2,1,2,0,42803,1,1,0,4,0,177,2,72,0,3,0.0,856060,0
39,4,1,2,0,40974,0,0,0,20,1,158,1,337,0,3,2.0,778506,0
42,4,1,2,0,87111,1,1,0,6,8,101,3,851,1,0,2.0,1916442,101
31,9,1,2,0,29444,0,0,0,7,4,271,4,305,0,3,2.0,323884,0
46,3,1,1,0,41193,1,0,2,6,7,138,3,167,0,3,1.0,1071018,0
30,6,1,1,0,60042,0,1,0,21,8,158,2,741,0,3,2.0,600420,0
31,9,1,1,0,41775,1,1,0,8,1,158,2,393,0,3,0.0,459525,0
30,1,2,1,0,39377,1,1,0,18,7,121,1,699,0,3,0.0,393770,0
31,4,1,2,0,46789,0,0,0,22,1,158,2,677,0,3,2.0,514679,0
35,4,2,2,0,44704,0,0,0,21,8,158,2,114,0,3,2.0,670560,0
34,9,1,1,0,32918,1,0,0,27,7,345,1,664,0,3,1.0,460852,0
49,9,1,2,0,84932,0,0,0,7,4,69,1,713,0,3,2.0,2463028,0
35,7,0,0,0,47753,0,0,0,7,4,126,2,139,1,1,2.0,716295,126
46,2,1,2,0,65739,0,0,0,6,5,177,1,534,0,3,2.0,1709214,0
35,9,1,1,0,29921,1,0,2,16,7,152,1,780,0,3,1.0,448815,0
34,4,1,2,0,66164,1,0,0,27,7,345,1,359,0,3,2.0,926296,0
32,1,1,0,0,13233,0,0,0,26,1,158,4,278,0,3,2.0,158796,0
37,7,1,1,0,23688,0,0,1,12,4,158,1,754,0,3,2.0,402696,0
30,7,1,1,0,102038,1,0,2,26,7,121,1,194,0,3,1.0,1020380,0
31,4,1,2,0,23941,1,0,0,30,2,101,1,160,0,0,2.0,263351,0
29,1,1,1,0,95026,1,0,2,16,7,345,2,17,0,3,1.0,855234,0
31,1,1,0,0,67891,1,1,0,17,0,101,3,279,0,3,0.0,746801,0
35,4,1,2,0,9558,1,0,0,27,7,345,2,381,0,3,2.0,143370,0
53,1,1,0,0,48210,0,0,0,4,2,158,2,427,0,3,2.0,1590930,0
29,10,1,1,0,84726,1,0,0,30,9,101,1,112,2,2,3.0,762534,202
60,4,1,3,0,92611,0,0,0,11,7,101,1,536,0,0,2.0,3704440,0
34,1,2,1,0,-2138,1,0,2,15,7,345,2,401,0,3,1.0,-29932,0
35,9,1,1,0,97789,1,0,2,20,5,184,3,526,0,3,1.0,1466835,0
30,9,1,2,0,60756,1,0,0,14,4,271,1,452,0,3,1.0,607560,0
51,4,1,2,0,37933,0,0,0,18,1,158,1,12,0,3,2.0,1175923,0
37,1,1,1,0,69208,1,0,2,20,5,87,1,425,0,3,1.0,1176536,0
30,1,2,1,0,26881,0,1,0,7,4,271,1,293,0,3,2.0,268810,0
37,1,2,3,0,31845,1,0,0,28,7,101,2,62,0,0,1.0,541365,0
37,4,1,2,0,71727,1,0,0,17,4,158,1,389,0,3,2.0,1219359,0
37,0,1,1,0,94867,1,0,0,27,7,345,1,457,0,3,2.0,1612739,0
35,4,1,2,0,54936,1,0,0,21,8,121,1,301,0,3,2.0,824040,0
34,1,2,1,0,13364,0,0,0,27,7,69,2,720,0,3,2.0,187096,0
37,4,1,2,0,78672,1,0,0,7,7,101,1,152,0,0,2.0,1337424,0
34,0,2,1,0,-4878,1,0,0,12,7,138,2,119,0,0,2.0,-68292,0
30,6,1,2,0,53164,0,0,0,7,4,271,3,737,0,3,2.0,531640,0
37,8,2,3,0,22112,0,0,2,20,5,177,1,700,0,3,3.0,375904,0
60,5,1,3,0,-630,1,0,0,28,3,101,1,836,0,0,3.0,-25200,0
30,4,1,2,0,49698,0,0,0,26,1,158,3,710,0,3,2.0,496980,0
31,9,1,1,0,95909,1,1,2,16,7,259,2,369,0,3,0.0,1054999,0
32,9,2,1,0,9604,0,0,0,28,4,158,4,221,0,3,2.0,115248,0
33,4,2,2,0,43216,1,0,0,3,0,101,2,433,0,3,2.0,561808,0
45,1,1,1,0,62073,1,0,1,3,0,14,1,639,1,1,1.0,1551825,14
31,9,1,1,0,97290,1,0,0,27,7,345,1,27,0,3,1.0,1070190,0
33,1,2,1,0,12091,0,0,2,25,7,152,1,154,0,3,2.0,157183,0
32,7,1,3,0,70732,0,0,0,28,0,177,1,811,0,3,2.0,848784,0
35,4,1,2,0,90707,1,0,0,27,7,345,1,83,0,3,2.0,1360605,0
31,1,2,1,0,8460,1,1,0,18,8,351,2,503,0,0,0.0,93060,0
45,6,0,0,0,44822,1,0,0,15,8,87,1,843,0,0,1.0,1120550,0
37,0,1,1,0,100815,1,0,2,2,5,64,2,423,0,3,2.0,1713855,0
32,4,2,2,0,1418,0,0,0,8,8,101,1,594,0,3,2.0,17016,0
37,6,1,1,0,50656,1,0,0,27,7,345,2,649,0,3,1.0,861152,0
60,2,1,2,0,28696,1,1,0,30,4,66,3,237,0,3,0.0,1147840,0
42,0,1,1,0,1496,1,0,0,20,0,177,1,727,0,3,2.0,32912,0
34,4,1,2,0,31909,1,0,0,27,7,345,2,772,0,3,2.0,446726,0
30,9,1,1,0,30649,0,0,0,18,1,158,2,753,0,3,2.0,306490,0
32,1,1,1,0,92650,1,0,0,27,7,121,3,129,0,3,1.0,1111800,0
33,4,1,1,0,52882,1,0,0,27,7,345,2,726,0,3,2.0,687466,0
31,4,2,1,0,64402,1,0,0,27,7,345,3,247,0,3,2.0,708422,0
36,0,0,0,0,4024,0,0,0,21,8,132,3,841,0,3,2.0,64384,0
36,1,2,1,0,11474,0,0,0,28,3,158,4,492,0,3,2.0,183584,0
53,1,2,3,0,84298,0,1,2,2,5,612,3,217,0,3,2.0,2781834,0
33,4,1,2,0,93705,1,0,0,12,7,345,1,500,0,3,2.0,1218165,0
30,7,1,3,0,64579,0,0,2,20,5,87,1,591,0,3,2.0,645790,0
30,9,1,3,0,74482,0,0,0,20,8,826,1,277,0,1,2.0,744820,0
37,4,2,2,0,-805,1,0,2,16,7,658,1,481,0,3,2.0,-13685,0
33,4,2,2,0,35216,0,1,0,18,1,158,1,549,0,3,2.0,457808,0
33,1,0,0,0,92036,1,0,0,20,0,121,3,340,0,3,1.0,1196468,0
31,0,2,1,0,98249,1,1,2,26,7,658,2,594,0,3,2.0,1080739,0
30,3,1,0,0,91444,0,0,2,16,7,152,2,638,0,3,2.0,914440,0
34,7,1,1,0,65764,1,0,2,15,7,152,1,598,0,3,1.0,920696,0
31,9,2,1,0,62393,1,0,2,26,7,121,2,772,0,3,1.0,686323,0
40,0,1,1,0,4190,0,0,2,23,7,152,2,202,0,3,2.0,83800,0
31,1,1,1,0,81943,1,0,0,27,7,345,1,282,0,3,1.0,901373,0
49,1,1,0,0,89453,0,0,2,6,5,177,2,664,0,3,2.0,2594137,0
34,4,1,1,0,45255,1,0,0,27,7,345,3,540,0,3,2.0,633570,0
37,9,1,1,0,28021,1,1,0,17,7,82,2,358,0,3,0.0,476357,0
43,4,0,3,0,85936,0,0,0,18,1,158,2,775,0,3,2.0,1976528,0
31,9,2,1,0,39516,1,0,0,27,7,345,1,857,0,3,1.0,434676,0
31,9,1,1,0,11217,1,0,0,6,8,87,1,375,0,0,1.0,123387,0
43,9,1,1,0,82745,1,1,2,16,7,658,3,499,0,3,0.0,1903135,0
30,4,1,2,0,-5166,1,0,0,28,4,271,4,52,0,3,2.0,-51660,0
37,0,0,1,0,30926,1,0,0,27,7,14,2,510,0,3,2.0,525742,0
33,1,1,1,0,60836,1,0,2,15,7,152,2,195,0,3,1.0,790868,0
31,1,1,0,0,83180,1,0,0,18,1,158,1,758,0,3,1.0,914980,0
30,7,1,1,0,43309,1,0,2,26,7,345,1,367,0,3,1.0,433090,0
29,9,1,2,0,90327,1,0,2,30,7,207,1,555,0,3,1.0,812943,0
30,9,2,1,0,3153,1,0,2,2,5,87,1,123,0,3,1.0,31530,0
37,2,1,1,0,37974,0,0,0,27,7,177,3,251,0,3,2.0,645558,0
30,0,1,0,0,-6320,1,1,2,6,5,52,2,505,0,3,2.0,-63200,0
49,9,0,3,0,84765,0,0,0,28,4,158,2,102,0,3,2.0,2458185,0
40,0,1,1,0,28561,1,0,2,16,7,152,1,350,0,3,2.0,571220,0
56,1,1,0,0,3648,0,1,2,20,5,177,1,311,0,3,2.0,131328,0
32,0,1,1,0,82746,1,0,0,27,7,345,1,71,0,3,2.0,992952,0
31,9,1,1,0,75676,1,0,0,21,0,87,1,833,1,0,1.0,832436,87
30,0,1,1,0,73667,0,0,2,2,5,117,1,727,0,3,2.0,736670,0
48,7,0,0,0,100631,0,0,0,4,1,67,2,298,0,3,2.0,2817668,0
34,1,2,1,0,46248,1,0,0,17,0,72,1,10,0,3,1.0,647472,0
45,4,0,2,0,67722,1,1,0,18,1,177,1,287,0,3,2.0,1693050,0
41,6,1,1,0,27443,0,1,0,13,7,14,4,592,0,3,2.0,576303,0
35,9,1,2,0,11110,1,0,0,27,7,121,1,570,0,3,1.0,166650,0
43,5,1,1,0,93729,1,0,2,26,7,259,2,294,0,3,3.0,2155767,0
35,4,1,2,0,1504,1,0,0,17,0,87,1,164,0,3,2.0,22560,0
32,0,1,1,0,-5982,1,0,0,21,8,101,1,210,1,1,2.0,-71784,101
49,6,1,3,0,52535,0,0,0,5,7,14,1,709,0,3,2.0,1523515,0
56,4,0,3,0,50723,0,0,2,20,5,177,2,194,0,3,2.0,1826028,0
32,0,2,1,0,14902,1,0,0,3,0,72,1,110,0,3,2.0,178824,0
31,0,2,1,0,78862,0,0,0,8,0,158,1,728,0,3,2.0,867482,0
44,4,1,2,0,23679,0,0,0,14,1,158,2,462,0,3,2.0,568296,0
31,1,1,1,0,84797,1,0,2,15,7,152,1,87,0,3,1.0,932767,0
40,1,1,1,0,73622,1,0,2,30,7,126,1,693,0,3,1.0,1472440,0
30,2,1,2,0,53300,0,0,2,8,7,67,2,155,0,3,2.0,533000,0
32,8,2,1,0,21482,0,0,2,20,5,177,1,91,0,3,3.0,257784,0
37,1,1,1,0,54814,1,0,0,8,7,755,1,628,0,3,1.0,931838,0
36,0,1,1,0,27228,1,0,0,27,7,345,1,719,0,3,2.0,435648,0
31,1,1,3,0,77672,1,0,1,12,4,158,1,715,0,3,1.0,854392,0
31,1,2,1,0,-5415,1,0,2,15,7,345,4,631,0,3,1.0,-59565,0
49,6,1,2,0,81485,0,0,0,29,1,158,2,457,0,3,2.0,2363065,0
40,3,2,1,0,93127,0,0,0,15,4,158,1,368,0,3,2.0,1862540,0
51,4,0,2,0,43890,0,0,0,8,1,48,2,588,0,3,2.0,1360590,0
39,4,1,2,0,86051,1,0,2,23,7,121,1,648,0,3,2.0,1634969,0
31,1,1,0,0,34684,0,0,0,13,1,158,2,259,0,3,2.0,381524,0
49,4,1,1,0,10166,1,1,0,4,0,14,2,377,0,3,2.0,294814,0
33,1,1,1,0,92951,1,0,0,27,7,345,1,442,0,3,1.0,1208363,0
46,1,1,1,0,66238,1,0,0,7,7,82,1,255,0,1,1.0,1722188,0
25,9,2,1,0,67457,1,0,0,7,4,271,2,394,0,3,1.0,337285,0
48,9,1,2,0,11288,0,0,0,18,1,158,2,195,0,3,2.0,316064,0
34,4,0,2,0,69101,1,0,2,26,7,658,2,293,0,3,2.0,967414,0
39,9,1,1,0,99065,1,0,2,16,7,345,1,706,0,3,1.0,1882235,0
35,7,1,2,0,36954,1,0,2,16,7,245,4,309,0,3,1.0,554310,0
43,7,1,1,0,53119,0,0,2,16,7,58,1,414,0,3,2.0,1221737,0
57,5,1,1,0,9898,0,0,1,2,5,64,1,764,0,3,3.0,366226,0
36,1,1,0,0,61004,1,0,0,12,7,82,1,705,1,0,1.0,976064,82
33,1,1,1,0,79109,1,0,2,15,7,345,4,620,0,3,1.0,1028417,0
48,3,2,2,0,-5519,0,0,0,14,1,158,3,336,0,3,2.0,-154532,0
31,1,1,1,0,9673,1,0,0,27,7,345,1,548,0,3,1.0,106403,0
33,4,1,1,0,44243,1,0,0,27,7,345,1,412,0,3,2.0,575159,0
34,1,1,1,0,49327,1,0,0,12,7,87,2,170,1,0,1.0,690578,87
33,1,1,1,0,17403,1,0,0,15,7,345,1,482,0,3,1.0,226239,0
30,6,1,0,0,91670,0,0,0,4,1,158,2,735,0,3,2.0,916700,0
40,1,1,0,0,22549,1,0,0,13,6,555,2,754,2,2,1.0,450980,1110
31,1,2,1,0,71291,0,1,0,27,7,69,2,598,1,3,2.0,784201,69
32,7,1,1,0,66359,1,1,2,16,7,152,1,131,0,3,0.0,796308,0
31,4,1,2,0,21161,1,0,0,4,0,141,2,75,0,3,2.0,232771,0
32,2,2,2,0,72687,0,0,0,20,7,207,1,161,0,0,2.0,872244,0
31,1,2,1,0,45746,0,0,0,21,8,158,2,794,0,3,2.0,503206,0
31,0,1,2,0,94810,1,0,0,27,7,121,3,600,0,3,2.0,1042910,0
35,1,1,1,0,85609,1,0,0,27,7,345,1,291,0,3,1.0,1284135,0
30,4,1,2,0,94820,1,0,0,18,8,158,2,762,0,3,2.0,948200,0
32,0,2,1,0,62541,1,1,0,7,4,158,4,658,0,3,2.0,750492,0
33,1,1,1,0,55937,1,0,0,8,7,755,2,483,0,3,1.0,727181,0
31,4,2,2,0,37035,0,0,0,17,2,158,1,305,0,3,2.0,407385,0
30,3,2,1,0,47367,1,0,0,7,4,271,4,383,0,3,1.0,473670,0
31,7,2,1,0,36685,1,1,0,27,7,121,3,606,0,3,0.0,403535,0
29,4,1,3,0,78407,0,0,0,17,7,177,2,155,0,3,2.0,705663,0
34,7,0,0,0,68085,1,0,2,8,7,152,2,530,0,3,1.0,953190,0
30,4,2,2,0,64075,0,0,0,18,1,158,2,479,0,3,2.0,640750,0
27,0,1,1,0,92725,1,0,0,27,7,345,1,209,0,3,2.0,649075,0
34,4,2,2,0,75508,1,0,0,8,7,345,1,362,0,3,2.0,1057112,0
43,3,0,1,0,77518,0,0,0,17,7,121,1,467,0,3,2.0,1782914,0
31,1,1,0,0,29917,1,1,2,26,7,259,1,733,0,3,0.0,329087,0
30,9,1,1,0,81367,0,0,0,4,2,158,1,466,0,3,2.0,813670,0
31,9,1,1,0,94591,1,1,0,27,7,121,3,332,0,3,0.0,1040501,0
31,9,1,1,0,8092,1,0,0,27,7,345,1,729,0,3,1.0,89012,0
30,5,1,1,0,99067,1,0,2,26,7,658,1,477,0,3,3.0,990670,0
33,9,1,1,0,98495,1,0,0,27,7,345,1,838,0,3,1.0,1280435,0
30,9,1,1,0,8477,0,0,2,16,7,259,2,670,0,3,2.0,84770,0
31,9,1,2,0,10391,1,1,2,16,7,658,1,9,0,3,0.0,114301,0
34,1,2,1,0,-6783,1,0,0,17,0,87,2,700,1,0,1.0,-94962,87
35,9,1,1,0,19106,1,0,0,27,7,345,2,768,0,3,1.0,286590,0
30,9,1,1,0,42757,0,0,0,26,1,158,4,819,0,3,2.0,427570,0
35,9,0,2,0,31867,0,0,2,16,7,345,1,404,0,3,2.0,478005,0
32,1,1,0,0,73806,0,0,0,27,7,14,2,50,0,2,2.0,885672,0
34,4,1,2,0,39645,1,0,0,27,7,345,2,671,0,3,2.0,555030,0
30,9,2,2,0,101013,0,0,0,8,1,158,1,410,0,3,2.0,1010130,0
31,9,1,1,0,76159,0,0,0,18,1,48,2,7,0,3,2.0,837749,0
35,9,2,2,0,99126,0,0,0,27,7,121,2,228,0,3,2.0,1486890,0
57,5,1,3,0,20735,0,0,2,30,7,142,1,195,0,3,3.0,767195,0
35,1,1,1,0,7317,1,0,0,27,7,345,1,223,0,3,1.0,109755,0
32,9,2,1,0,91408,0,0,0,28,4,56,1,784,0,0,2.0,1096896,0
32,7,1,1,0,28912,1,0,2,16,7,345,4,517,0,3,1.0,346944,0
49,7,1,1,0,55572,0,0,2,2,5,177,1,354,0,3,2.0,1611588,0
31,9,0,1,0,88825,0,1,0,27,7,121,2,511,0,3,2.0,977075,0
32,7,1,1,0,71124,1,0,0,27,7,1045,2,245,0,3,1.0,853488,0
33,0,1,1,0,76575,1,0,0,27,7,345,2,158,0,3,2.0,995475,0
31,4,1,2,0,20858,1,0,0,27,7,345,1,149,0,3,2.0,229438,0
60,8,1,3,0,69593,0,0,0,28,8,158,1,10,0,3,3.0,2783720,0
34,9,1,1,0,20412,1,0,2,20,7,259,2,457,0,3,1.0,285768,0
49,2,1,1,0,55024,1,0,1,21,8,14,3,71,0,3,1.0,1595696,0
33,1,1,1,0,66992,1,0,0,27,7,345,1,339,0,3,1.0,870896,0
34,6,1,2,0,62736,1,1,2,20,5,117,1,732,0,3,0.0,878304,0
48,7,0,1,0,-6515,0,0,0,21,8,48,1,586,0,3,2.0,-182420,0
49,3,1,0,0,96845,0,0,0,21,1,158,2,321,0,3,2.0,2808505,0
31,6,2,2,0,68416,0,0,0,21,8,177,1,239,0,3,2.0,752576,0
33,4,1,2,0,70875,1,0,2,15,7,246,2,203,0,3,2.0,921375,0
34,9,2,1,0,69957,1,0,2,26,7,345,1,578,0,3,1.0,979398,0
35,4,1,2,0,-3400,1,0,0,21,8,101,2,554,1,1,2.0,-51000,101
35,9,1,1,0,93499,1,0,0,28,3,101,3,394,0,0,1.0,1402485,0
30,1,1,0,0,78970,1,0,0,27,7,121,1,69,0,3,1.0,789700,0
31,9,1,0,0,66349,0,0,0,11,1,158,4,674,0,3,2.0,729839,0
34,7,2,1,0,30050,0,0,2,26,7,152,1,209,0,3,2.0,420700,0
49,3,1,0,0,18203,0,0,0,13,1,158,4,828,0,3,2.0,527887,0
31,0,2,1,0,96048,1,1,0,18,1,158,2,75,0,3,2.0,1056528,0
55,4,2,2,0,77514,0,0,0,17,4,66,2,384,0,3,2.0,2712990,0
35,4,1,2,0,-3518,1,0,0,17,8,87,1,58,0,0,2.0,-52770,0
30,7,1,2,0,28293,1,0,2,16,7,259,3,550,0,3,1.0,282930,0
31,4,2,1,0,72961,1,0,2,16,7,126,2,379,0,3,2.0,802571,0
30,0,2,1,0,74220,0,0,1,3,0,826,1,603,0,3,2.0,742200,0
48,3,1,0,0,38341,1,0,0,13,8,101,1,479,0,0,1.0,1073548,0
31,0,0,1,0,88468,1,1,0,7,4,271,4,867,0,3,2.0,973148,0
42,6,1,1,0,66557,0,0,1,6,8,158,2,770,0,3,2.0,1464254,0
30,6,2,1,0,91648,1,1,0,7,4,271,4,863,0,3,0.0,916480,0
43,0,1,1,0,73834,0,0,0,30,9,826,1,668,2,2,2.0,1698182,1652
35,9,1,1,0,84190,1,0,0,4,1,158,1,221,0,3,1.0,1262850,0
30,7,2,1,0,13536,1,1,0,20,0,158,3,416,0,3,0.0,135360,0
46,4,1,1,0,72149,0,0,0,30,5,132,1,498,0,3,2.0,1875874,0
35,9,0,0,0,52595,1,0,0,7,4,189,3,255,0,3,1.0,788925,0
33,9,1,1,0,78986,1,0,0,27,7,345,4,525,0,3,1.0,1026818,0
60,4,2,2,0,-2835,0,0,0,30,7,158,2,386,0,3,2.0,-113400,0
57,10,1,1,0,2412,0,0,0,18,1,158,3,455,0,3,3.0,89244,0
42,7,1,1,0,-610,0,0,0,11,2,101,1,737,0,0,2.0,-13420,0
32,1,1,0,0,61503,1,0,2,2,5,87,2,351,0,3,1.0,738036,0
31,0,2,1,0,16632,1,0,2,15,7,152,2,652,0,3,2.0,182952,0
29,5,1,0,0,-5135,0,1,0,8,4,158,4,738,0,3,3.0,-46215,0
34,1,2,1,0,78858,1,0,0,2,5,184,1,690,0,3,1.0,1104012,0
34,9,1,1,0,69955,1,0,0,27,7,345,1,170,0,3,1.0,979370,0
30,10,2,2,0,101736,0,0,0,4,2,248,1,272,0,3,3.0,1017360,0
34,7,2,1,0,75757,1,1,2,2,5,117,2,663,0,3,0.0,1060598,0
33,1,1,1,0,99858,1,0,0,27,7,345,1,417,0,3,1.0,1298154,0
34,1,1,1,0,16659,1,0,0,8,7,345,1,352,0,3,1.0,233226,0
28,1,2,1,0,79496,0,1,1,3,2,72,3,785,0,3,2.0,635968,0
36,2,1,1,0,90896,0,0,0,2,5,117,3,9,0,3,2.0,1454336,0
32,0,2,1,0,60466,1,0,2,15,7,246,1,38,0,3,2.0,725592,0
52,4,2,2,0,71962,0,0,0,13,2,101,2,737,2,2,2.0,2302784,202
33,4,1,1,0,86711,1,0,0,27,7,345,1,579,0,3,2.0,1127243,0
36,2,1,2,0,45880,0,0,0,7,4,158,2,403,0,3,2.0,734080,0
31,1,1,1,0,19339,1,0,0,18,1,158,1,629,0,3,1.0,212729,0
33,1,1,0,0,5218,1,0,2,16,7,345,1,253,0,3,1.0,67834,0
33,9,1,1,0,7365,1,0,0,27,7,345,1,464,0,3,1.0,95745,0
48,4,1,2,0,81439,0,1,0,17,0,104,3,174,0,1,2.0,2280292,0
57,7,1,1,0,94337,0,0,0,19,8,158,4,261,0,3,2.0,3490469,0
31,0,1,1,0,48733,1,0,0,27,7,126,1,412,0,3,2.0,536063,0
35,4,1,2,0,96477,1,0,0,27,7,345,1,770,0,3,2.0,1447155,0
31,7,1,1,0,97262,1,1,2,15,7,658,1,321,0,3,0.0,1069882,0
41,0,1,1,0,30812,0,1,0,7,4,158,4,166,0,3,2.0,647052,0
30,7,1,1,0,46296,1,1,2,25,7,245,2,333,0,3,0.0,462960,0
34,9,1,1,0,79403,0,0,0,27,7,345,1,204,0,3,2.0,1111642,0
29,1,2,1,0,4604,0,0,0,14,4,271,1,221,0,3,2.0,41436,0
31,4,1,2,0,63616,1,0,0,15,1,826,2,527,0,0,2.0,699776,0
53,5,2,2,0,63147,0,0,0,11,1,158,3,822,0,3,3.0,2083851,0
32,0,2,1,0,80777,1,0,0,27,7,121,4,410,1,3,2.0,969324,121
30,10,1,2,0,28079,0,0,0,4,1,158,1,796,0,3,3.0,280790,0
31,1,1,1,0,22836,1,0,0,27,7,345,1,650,0,3,1.0,251196,0
35,4,1,2,0,90925,1,0,2,15,7,345,1,723,0,3,2.0,1363875,0
30,2,1,2,0,65143,1,1,0,4,2,101,1,294,0,3,0.0,651430,0
33,1,1,1,0,36303,1,0,1,12,4,271,3,278,0,3,1.0,471939,0
45,1,1,1,0,50811,1,0,0,7,4,189,2,197,0,0,1.0,1270275,0
30,2,1,2,0,-2929,0,1,2,16,7,658,2,710,0,3,2.0,-29290,0
35,1,1,0,0,17426,0,0,0,27,7,189,1,582,0,3,2.0,261390,0
37,4,0,2,0,75621,1,0,2,20,5,184,1,633,0,3,2.0,1285557,0
34,9,2,1,0,65629,1,0,0,27,7,345,2,291,0,3,1.0,918806,0
31,9,2,1,0,12371,1,0,2,16,7,121,1,232,0,3,1.0,136081,0
31,1,1,1,0,94722,1,0,0,27,7,1045,1,624,0,3,1.0,1041942,0
31,3,1,1,0,98185,1,0,2,15,7,152,2,42,0,3,1.0,1080035,0
33,4,1,2,0,3640,0,0,0,8,1,158,2,862,0,3,2.0,47320,0
31,7,2,1,0,11088,0,0,0,3,0,14,1,256,0,1,2.0,121968,0
31,2,0,2,0,27534,1,0,0,21,8,14,1,409,0,3,1.0,302874,0
51,0,1,1,0,38911,0,0,2,20,5,117,3,280,0,3,2.0,1206241,0
35,4,1,1,0,63159,1,0,0,2,5,184,1,20,0,3,2.0,947385,0
60,5,1,0,0,84553,0,0,1,12,1,158,2,496,0,3,3.0,3382120,0
35,6,1,2,0,82539,1,0,0,11,8,658,1,83,0,0,1.0,1238085,0
36,1,1,0,0,13541,1,0,2,16,7,152,3,504,0,3,1.0,216656,0
34,9,2,1,0,21402,1,0,2,16,7,153,2,864,0,3,1.0,299628,0
32,0,2,1,0,71480,1,0,0,27,7,345,1,517,0,3,2.0,857760,0
30,7,2,2,0,83443,0,0,2,17,5,117,1,484,0,3,2.0,834430,0
35,4,1,2,0,83653,1,0,0,7,8,351,1,671,0,0,2.0,1254795,0
35,9,1,1,0,71624,1,0,0,27,7,121,1,225,0,3,1.0,1074360,0
34,4,1,1,0,71775,1,0,0,27,7,345,2,546,0,3,2.0,1004850,0
31,1,2,1,0,19545,1,1,0,7,4,271,1,15,0,3,0.0,214995,0
42,10,1,2,0,17874,1,0,0,9,2,104,1,92,0,3,3.0,393228,0
