,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,score,an_income,pre_total_duration,stacking_f,stacking_o,stacking_s,stacking_u
19,32,1,1,0,0,55015,1,0,0,17,8,101,1,615,0,1.0,660180,0,0.6354479768526442,0.06976078329732871,0.017514491826521636,0.27727674802350477
20,28,0,2,1,0,33253,0,1,0,4,1,158,4,687,0,2.0,266024,0,0.00010998729995231882,-0.0010692390487419129,-0.0003816628428607999,1.0013409145916499
21,33,1,1,0,0,19022,1,0,2,15,7,152,1,257,0,1.0,247286,0,0.0012141155643553142,-0.0007646091552385922,-1.8707989273395592e-05,0.9995692015801563
22,33,4,2,2,0,36359,0,1,0,26,1,158,4,68,0,2.0,472667,0,0.0006268431196994606,-0.0012023040940757103,-0.0005119981880046288,1.0010874591623806
23,32,0,2,1,0,14640,1,0,0,27,7,82,1,125,1,2.0,175680,82,0.6573786944309816,0.2658745397809137,0.09444783632897473,-0.01770107054086323
24,31,9,2,1,0,90317,1,1,2,16,7,245,1,17,0,0.0,993487,0,-0.00032941101894791436,0.002828846239015217,-0.0008314073034124125,0.9983319720833458
25,35,9,1,1,0,53319,0,0,0,28,1,101,2,47,0,2.0,799785,0,0.814230718259728,0.08545655432804769,0.02092611605749959,0.07938661135472769
26,32,9,1,1,0,41765,1,1,0,17,0,198,1,544,0,0.0,501180,0,0.44747362932440043,0.06254498427926765,0.00943289596362172,0.48054849043270753
27,33,4,1,2,0,17704,0,0,2,20,5,64,1,267,0,2.0,230152,0,0.0014345001819118658,-0.00019425569179177746,0.00165826657111591,0.9971014889387632
28,32,0,2,1,0,1171,1,0,1,3,0,101,2,661,0,2.0,14052,0,0.2535945686462734,0.11353806075502879,0.021099752250275147,0.6117676183484498
29,31,9,0,1,0,31981,1,0,2,28,7,245,3,306,0,1.0,351791,0,0.010812189936074329,0.012132076595370356,0.0029877118595958187,0.9740680216089724
30,37,5,1,1,0,74312,1,0,0,8,1,48,2,134,0,3.0,1263304,0,0.03426161475094762,0.005706300217527029,0.000880388177789921,0.9591516968537289
31,30,4,1,2,0,88006,0,0,0,18,1,158,3,48,0,2.0,880060,0,0.0027127850604183323,-0.0003644402091601828,3.0789502352031317e-06,0.9976485761985058
32,30,4,2,2,0,92998,0,0,0,5,4,158,2,343,0,2.0,929980,0,0.003974304291660832,0.0031192842864614344,7.5304518565536e-05,0.9928311069033121
33,60,5,2,2,0,75155,0,0,0,30,0,101,1,527,0,3.0,3006200,0,0.4918642472948259,0.02949424479414381,0.03538517651894291,0.4432563313921007
34,35,4,1,1,0,43980,0,1,0,18,1,48,2,128,0,2.0,659700,0,0.0071624941914524565,0.0016322658186668539,3.164817402522002e-05,0.9911735918158534
35,34,7,1,1,0,87839,0,0,0,3,2,101,1,234,0,2.0,1229746,0,0.6336568850999637,0.10873685429018058,0.012449226484716948,0.2451570341251329
36,57,7,0,1,0,2776,0,0,0,18,1,158,2,130,0,2.0,102712,0,0.010974461463855292,-0.012616906147773686,-0.005557822659550019,1.0072002673434697
37,33,4,1,2,0,41311,1,0,2,16,5,64,3,386,0,2.0,537043,0,-0.0010068850410379915,0.0010706025457815314,0.002750656656514177,0.9971856258387418
38,53,9,0,1,0,78740,0,1,0,27,7,121,4,428,0,2.0,2598420,0,0.015293179868070675,0.004542116124057045,0.0003292581259407637,0.9798354458819326
39,42,5,1,0,0,79627,0,0,0,30,1,158,1,524,0,3.0,1751794,0,0.01253701329199211,0.0013183285647650374,0.003961972409225668,0.9821826857340176
40,31,0,1,1,0,3245,1,0,0,21,8,1074,1,164,0,2.0,35695,0,0.019069538608285377,0.019768547367204358,0.009898910170052249,0.9512630038544563
41,49,7,1,1,0,89806,0,1,0,9,1,158,2,26,0,2.0,2604374,0,-0.0018104615776795563,-0.0010970895581885604,-0.0002251504829716422,1.0031327016188394
42,32,6,2,1,0,-3882,0,1,0,7,4,271,4,183,0,2.0,-46584,0,0.0015751545573254727,0.001710656860622023,-0.001004689790771389,0.9977188783728246
43,40,2,1,2,0,42803,1,1,0,4,0,177,2,72,0,0.0,856060,0,0.007106675056794853,-0.000796030398650456,0.0008898692756307836,0.9927994860662258
44,39,4,1,2,0,40974,0,0,0,20,1,158,1,337,0,2.0,778506,0,0.0037895811314249406,7.541651144321246e-05,0.0016305411737083282,0.9945044611834227
45,42,4,1,2,0,87111,1,1,0,6,8,101,3,851,1,2.0,1916442,101,0.791649855598249,0.17313042566677925,0.040997406168821846,-0.005777687433837664
46,31,9,1,2,0,29444,0,0,0,7,4,271,4,305,0,2.0,323884,0,0.008628766147872419,0.003710976802460266,0.0009197174673117939,0.9867405395823601
47,46,3,1,1,0,41193,1,0,2,6,7,138,3,167,0,1.0,1071018,0,0.02249530321989271,0.0445297275857843,0.010743117082392312,0.9222318521119202
48,30,6,1,1,0,60042,0,1,0,21,8,158,2,741,0,2.0,600420,0,0.0009394736502451179,-0.0010037931747571352,-0.0004487392005483627,1.00051305872506
49,31,9,1,1,0,41775,1,1,0,8,1,158,2,393,0,0.0,459525,0,0.001726021351543941,0.0004965368351498335,-0.0007802192135328602,0.9985576610268396
50,30,1,2,1,0,39377,1,1,0,18,7,121,1,699,0,0.0,393770,0,0.021218431691574127,-0.001142015418487543,0.00012216349136271246,0.9798014202355486
51,31,4,1,2,0,46789,0,0,0,22,1,158,2,677,0,2.0,514679,0,0.003598947877579861,0.0006192358907005958,0.0020308249890494783,0.9937509912426687
52,35,4,2,2,0,44704,0,0,0,21,8,158,2,114,0,2.0,670560,0,0.0032973982774696237,0.002791197251126882,0.0015012423671343054,0.9924101621042696
53,34,9,1,1,0,32918,1,0,0,27,7,345,1,664,0,1.0,460852,0,0.0020604794106711816,-0.0009006579380258159,-0.00040726104345548825,0.9992474395708099
54,49,9,1,2,0,84932,0,0,0,7,4,69,1,713,0,2.0,2463028,0,0.022931194596251356,0.01035909940600863,0.005433369788798662,0.9612763362089384
55,35,7,0,0,0,47753,0,0,0,7,4,126,2,139,1,2.0,716295,126,0.5404425602005671,0.3884006503789585,0.1262050742642253,-0.05504828484373969
56,46,2,1,2,0,65739,0,0,0,6,5,177,1,534,0,2.0,1709214,0,0.02899496817560765,0.025033102630893273,0.005309683577818948,0.9406622456156821
57,35,9,1,1,0,29921,1,0,2,16,7,152,1,780,0,1.0,448815,0,0.0004588766480855405,-0.00014312871675500882,-0.0004109598609176486,1.0000952119295876
58,34,4,1,2,0,66164,1,0,0,27,7,345,1,359,0,2.0,926296,0,0.0019590534189369846,-0.00102701067237429,-0.00022022992168194838,0.999288187175119
59,32,1,1,0,0,13233,0,0,0,26,1,158,4,278,0,2.0,158796,0,0.0014558883977833503,0.0016043138427199316,7.906686788796552e-05,0.996860730891608
60,37,7,1,1,0,23688,0,0,1,12,4,158,1,754,0,2.0,402696,0,0.009841166910822305,0.0013294312331325678,0.005509021852978654,0.9833203800030651
61,30,7,1,1,0,102038,1,0,2,26,7,121,1,194,0,1.0,1020380,0,0.0023884788168316295,-0.0014522454097468766,-0.0004383489559529295,0.9995021155488669
62,31,4,1,2,0,23941,1,0,0,30,2,101,1,160,0,2.0,263351,0,0.38795706321866996,0.13336508431503652,0.35361404481540454,0.12506380765084213
63,29,1,1,1,0,95026,1,0,2,16,7,345,2,17,0,1.0,855234,0,-0.00035147348608642603,-0.0006622936746734365,-0.001014319149285202,1.0020280863100455
64,31,1,1,0,0,67891,1,1,0,17,0,101,3,279,0,0.0,746801,0,0.2369348888195778,0.09363789705195771,0.005647818614174295,0.6637793955142931
65,35,4,1,2,0,9558,1,0,0,27,7,345,2,381,0,2.0,143370,0,0.001675944888277367,-0.0009201416292396181,-4.012999673600262e-05,0.9992843267376981
66,53,1,1,0,0,48210,0,0,0,4,2,158,2,427,0,2.0,1590930,0,0.014780347796059343,0.002331889903257601,0.003332521783706995,0.9795552405169731
67,29,10,1,1,0,84726,1,0,0,30,9,101,1,112,2,3.0,762534,202,0.6988760147585972,-0.0004270538673507365,0.27668619824755575,0.02486484086120444
68,60,4,1,3,0,92611,0,0,0,11,7,101,1,536,0,2.0,3704440,0,0.8250847904412123,0.08225486552499786,0.03463913841387098,0.05802120561993851
69,34,1,2,1,0,-2138,1,0,2,15,7,345,2,401,0,1.0,-29932,0,-0.0001957401759056926,-0.0007209967753293717,-0.00034742602824608393,1.0012641629794816
70,35,9,1,1,0,97789,1,0,2,20,5,184,3,526,0,1.0,1466835,0,0.002609581363776717,0.003919136628034815,0.002793248160675917,0.9906780338475114
71,30,9,1,2,0,60756,1,0,0,14,4,271,1,452,0,1.0,607560,0,0.004842196182320957,-0.00042175720559880364,5.021959060203321e-05,0.9955293414326749
72,51,4,1,2,0,37933,0,0,0,18,1,158,1,12,0,2.0,1175923,0,0.0014538816080749833,-0.0008007068412353192,0.0007006284501882148,0.9986461967829715
73,37,1,1,1,0,69208,1,0,2,20,5,87,1,425,0,1.0,1176536,0,0.0050881023587508595,0.00046828848316297217,0.0025922167193919987,0.9918513924386942
74,30,1,2,1,0,26881,0,1,0,7,4,271,1,293,0,2.0,268810,0,0.0023992462646019314,0.00018045354856653303,-6.09344457735278e-05,0.9974812346326042
75,37,1,2,3,0,31845,1,0,0,28,7,101,2,62,0,1.0,541365,0,0.8216927474051581,0.11190515048570256,0.03405877335412346,0.03234332875501933
76,37,4,1,2,0,71727,1,0,0,17,4,158,1,389,0,2.0,1219359,0,0.002918027153160377,0.00022280882042684247,0.0025768773974321237,0.9942822866289811
77,37,0,1,1,0,94867,1,0,0,27,7,345,1,457,0,2.0,1612739,0,0.0007438459198974151,-0.0009990006705545076,-0.0007610087282171191,1.0010161634788748
78,35,4,1,2,0,54936,1,0,0,21,8,121,1,301,0,2.0,824040,0,0.023415438120625895,0.034658070586459,0.003707262710674014,0.9382192285822415
79,34,1,2,1,0,13364,0,0,0,27,7,69,2,720,0,2.0,187096,0,0.0043310622166726764,0.0007093429622718923,0.002555543399612373,0.9924040514214407
80,37,4,1,2,0,78672,1,0,0,7,7,101,1,152,0,2.0,1337424,0,0.9082814713322951,0.07498047188285956,0.010846648978356995,0.005891407806488669
81,34,0,2,1,0,-4878,1,0,0,12,7,138,2,119,0,2.0,-68292,0,0.19760059266193192,0.4519826203579355,0.06292951628835039,0.2874872706917535
82,30,6,1,2,0,53164,0,0,0,7,4,271,3,737,0,2.0,531640,0,0.0030701731814068017,-0.00037275940095474885,0.00043628954216575616,0.9968662966773815
83,37,8,2,3,0,22112,0,0,2,20,5,177,1,700,0,3.0,375904,0,2.122703091425593e-05,-0.00054493441309671,0.0011727484110843622,0.9993509589710976
84,60,5,1,3,0,-630,1,0,0,28,3,101,1,836,0,3.0,-25200,0,0.5279300675352916,0.1785892372452931,0.04539308535315165,0.24808760986626388
85,30,4,1,2,0,49698,0,0,0,26,1,158,3,710,0,2.0,496980,0,0.002410227644295021,-0.0008651744859878227,-2.4049121705116416e-05,0.9984789959633972
86,31,9,1,1,0,95909,1,1,2,16,7,259,2,369,0,0.0,1054999,0,9.987068959635415e-05,-0.0003363070814186818,-0.00014528138296188847,1.0003817177747836
87,32,9,2,1,0,9604,0,0,0,28,4,158,4,221,0,2.0,115248,0,0.00691795726764137,0.014483283979165144,0.00018185216378098154,0.9784169065894122
88,33,4,2,2,0,43216,1,0,0,3,0,101,2,433,0,2.0,561808,0,0.28131648262280784,0.1638416363192698,0.023215243684664218,0.5316266373732386
89,45,1,1,1,0,62073,1,0,1,3,0,14,1,639,1,1.0,1551825,14,0.2896106818810545,0.5215453285684442,0.07800324826008394,0.11084074129037658
90,31,9,1,1,0,97290,1,0,0,27,7,345,1,27,0,1.0,1070190,0,0.0008235315701218549,0.00017423779556428182,2.3293169890241383e-05,0.9989789374644229
91,33,1,2,1,0,12091,0,0,2,25,7,152,1,154,0,2.0,157183,0,0.00019155960493996704,-0.00027986169051189697,0.0004894204532734266,0.9995988816322979
92,32,7,1,3,0,70732,0,0,0,28,0,177,1,811,0,2.0,848784,0,0.0754216105274547,0.06734562149626544,0.02011661957865159,0.8371161483976362
93,35,4,1,2,0,90707,1,0,0,27,7,345,1,83,0,2.0,1360605,0,0.0005274419656953466,0.00019725117047362378,0.0003531907780821228,0.9989221160857483
94,31,1,2,1,0,8460,1,1,0,18,8,351,2,503,0,0.0,93060,0,0.8455249918499912,0.040023851124719324,0.009121775597498265,0.10532938142777892
95,45,6,0,0,0,44822,1,0,0,15,8,87,1,843,0,1.0,1120550,0,0.8035088979994278,-0.02961449594469574,-0.005514798627511596,0.23162039657267308
96,37,0,1,1,0,100815,1,0,2,2,5,64,2,423,0,2.0,1713855,0,0.0011568473317427608,-0.00010459853746081285,0.0010191994015836883,0.9979285518041338
97,32,4,2,2,0,1418,0,0,0,8,8,101,1,594,0,2.0,17016,0,0.6688985258931558,0.1044161816987692,0.01720489980075001,0.20948039260731477
98,37,6,1,1,0,50656,1,0,0,27,7,345,2,649,0,1.0,861152,0,0.002298529772089525,-0.0012441320469628453,-0.0003127001544138766,0.9992583024292869
99,60,2,1,2,0,28696,1,1,0,30,4,66,3,237,0,0.0,1147840,0,0.006739273403019386,-0.002037260500609657,0.010600093105707977,0.9846978939919049
100,42,0,1,1,0,1496,1,0,0,20,0,177,1,727,0,2.0,32912,0,0.014119200045935157,0.0070663295786792014,0.007732819636319379,0.9710816507390648
101,34,4,1,2,0,31909,1,0,0,27,7,345,2,772,0,2.0,446726,0,0.0006366216929805379,-0.0016334019587692476,-0.00010231748596481807,1.001099097751753
102,30,9,1,1,0,30649,0,0,0,18,1,158,2,753,0,2.0,306490,0,0.0019768562959855684,-0.00137406206832532,-0.0003294161351204798,0.9997266219074596
103,32,1,1,1,0,92650,1,0,0,27,7,121,3,129,0,1.0,1111800,0,0.020664194477213252,0.017234559356607188,0.003302526546272118,0.9587987196199115
104,33,4,1,1,0,52882,1,0,0,27,7,345,2,726,0,2.0,687466,0,0.00019653731247760986,-0.000559654960668135,-0.0007391675501083293,1.0011022851982994
105,31,4,2,1,0,64402,1,0,0,27,7,345,3,247,0,2.0,708422,0,0.0016684491139880575,-0.0005403332609056205,-1.7721373393383977e-06,0.9988736562842567
106,36,0,0,0,0,4024,0,0,0,21,8,132,3,841,0,2.0,64384,0,0.07696143007066181,0.03879462457227435,0.00487813272759972,0.8793658126294794
107,36,1,2,1,0,11474,0,0,0,28,3,158,4,492,0,2.0,183584,0,0.006340740781864682,0.008557818946134096,0.001271777938331345,0.9838296623336713
108,53,1,2,3,0,84298,0,1,2,2,5,612,3,217,0,2.0,2781834,0,0.0169259448959303,0.004372292127094699,-0.0011839866653324017,0.9798857496423059
109,33,4,1,2,0,93705,1,0,0,12,7,345,1,500,0,2.0,1218165,0,0.006675190947207074,0.011014931262691433,0.0026250199790103963,0.9796848578110884
110,30,7,1,3,0,64579,0,0,2,20,5,87,1,591,0,2.0,645790,0,-7.267474683386732e-05,0.0008283656342113685,0.00046477621590462065,0.9987795328967173
111,30,9,1,3,0,74482,0,0,0,20,8,826,1,277,0,2.0,744820,0,0.10342741697827719,0.014098685308308948,0.009426042788281026,0.8730478549251255
112,37,4,2,2,0,-805,1,0,2,16,7,658,1,481,0,2.0,-13685,0,0.024222507883776515,0.02038198020615562,0.005930884662354977,0.949464627247722
113,33,4,2,2,0,35216,0,1,0,18,1,158,1,549,0,2.0,457808,0,0.0008377181443421228,-3.176861434605119e-05,-0.000759682768896739,0.9999537332389012
114,33,1,0,0,0,92036,1,0,0,20,0,121,3,340,0,1.0,1196468,0,0.017150936606525585,0.092864629735673,0.01800438864399093,0.8719800450138081
115,31,0,2,1,0,98249,1,1,2,26,7,658,2,594,0,2.0,1080739,0,0.0036873271269179386,0.0034659953975122414,0.0005110306639238074,0.9923356468116459
116,30,3,1,0,0,91444,0,0,2,16,7,152,2,638,0,2.0,914440,0,0.000327596660671739,-0.0015850794582250999,-0.0005300150081323472,1.0017874978056855
117,34,7,1,1,0,65764,1,0,2,15,7,152,1,598,0,1.0,920696,0,0.0003552315038494458,-0.0006666279134954871,0.00046673356102965025,0.9998446628486158
118,31,9,2,1,0,62393,1,0,2,26,7,121,2,772,0,1.0,686323,0,0.0010612840235722648,0.0009994444057770842,-9.867120973546667e-05,0.9980379427803858
119,40,0,1,1,0,4190,0,0,2,23,7,152,2,202,0,2.0,83800,0,0.0008017798328065623,-0.0010139769864744193,-6.856384539070601e-05,1.0002807609990583
120,31,1,1,1,0,81943,1,0,0,27,7,345,1,282,0,1.0,901373,0,0.0006017517578632836,-0.00033425911873553524,0.00034083976388069037,0.9993916675969909
121,49,1,1,0,0,89453,0,0,2,6,5,177,2,664,0,2.0,2594137,0,0.0012886126290845151,0.004264842548195008,0.0014862158836077815,0.9929603289391113
122,34,4,1,1,0,45255,1,0,0,27,7,345,3,540,0,2.0,633570,0,0.0017562515733685058,-0.0007593121259057284,-0.00024212546706904245,0.999245186019606
123,37,9,1,1,0,28021,1,1,0,17,7,82,2,358,0,0.0,476357,0,0.46952373099426625,0.01084145302487895,0.008713156836108097,0.5109216591447809
124,43,4,0,3,0,85936,0,0,0,18,1,158,2,775,0,2.0,1976528,0,0.0038146346425402683,0.0001925957453133495,0.0017407288585994038,0.994252040753549
125,31,9,2,1,0,39516,1,0,0,27,7,345,1,857,0,1.0,434676,0,3.271421573323996e-05,-0.000794960141803365,-0.0007184276229413866,1.001480673549012
126,31,9,1,1,0,11217,1,0,0,6,8,87,1,375,0,1.0,123387,0,0.8241787451282265,0.1291885664597689,0.0103090719677262,0.03632361644430371
127,43,9,1,1,0,82745,1,1,2,16,7,658,3,499,0,0.0,1903135,0,0.0031094370950035116,-0.000854361686099446,-0.0008161586426960708,0.9985610832337908
128,30,4,1,2,0,-5166,1,0,0,28,4,271,4,52,0,2.0,-51660,0,0.003152722811052014,0.0017450598116581194,-0.0012481756021293193,0.9963503929794196
129,37,0,0,1,0,30926,1,0,0,27,7,14,2,510,0,2.0,525742,0,-0.004104868445417131,0.008152146037485652,0.009536584175939332,0.9864161382319913
130,33,1,1,1,0,60836,1,0,2,15,7,152,2,195,0,1.0,790868,0,0.0006203659205874928,0.00044908050734617996,0.00014083929830398592,0.9987897142737617
131,31,1,1,0,0,83180,1,0,0,18,1,158,1,758,0,1.0,914980,0,0.0008241720105214984,-0.001620624410868271,0.0025795770511054736,0.9982168753492415
132,30,7,1,1,0,43309,1,0,2,26,7,345,1,367,0,1.0,433090,0,0.0007744325329753082,-0.0012285231712403713,-0.0005896852322561895,1.001043775870521
133,29,9,1,2,0,90327,1,0,2,30,7,207,1,555,0,1.0,812943,0,0.06534297635017153,0.0029514075201695737,0.009653414797110887,0.9220522013325241
134,30,9,2,1,0,3153,1,0,2,2,5,87,1,123,0,1.0,31530,0,0.011388914011847023,0.007002523987486495,0.000990706914322334,0.9806178550863455
135,37,2,1,1,0,37974,0,0,0,27,7,177,3,251,0,2.0,645558,0,0.001967198717835572,-0.0010651980676814193,0.0008916133143098554,0.9982063860355355
136,30,0,1,0,0,-6320,1,1,2,6,5,52,2,505,0,2.0,-63200,0,0.0018172735293595227,-0.0007601474104665037,-0.0003224130429862193,0.999265286924093
137,49,9,0,3,0,84765,0,0,0,28,4,158,2,102,0,2.0,2458185,0,0.010737690821589596,0.007330316678950781,0.005112415542802789,0.9768195769566523
138,40,0,1,1,0,28561,1,0,2,16,7,152,1,350,0,2.0,571220,0,0.00045718096833301247,-0.0006671483238382195,-0.00033199799049067266,1.0005419653459964
139,56,1,1,0,0,3648,0,1,2,20,5,177,1,311,0,2.0,131328,0,0.0012000917348017476,-0.001054352497177155,-0.0003187162806375411,1.0001729770430128
140,32,0,1,1,0,82746,1,0,0,27,7,345,1,71,0,2.0,992952,0,0.0010607766508007183,-0.0014229717364704839,-0.00012913986533204247,1.0004913349510014
141,31,9,1,1,0,75676,1,0,0,21,0,87,1,833,1,1.0,832436,87,0.8121610348600922,0.1180861705090617,0.056785808822417114,0.01296698580843425
142,30,0,1,1,0,73667,0,0,2,2,5,117,1,727,0,2.0,736670,0,0.0005247835700005893,-0.0010008724998440133,-0.0004323312492085056,1.0009084201790517
143,48,7,0,0,0,100631,0,0,0,4,1,67,2,298,0,2.0,2817668,0,0.012788285531367322,0.007157129641454912,0.0006816774343514076,0.9793729073928205
144,34,1,2,1,0,46248,1,0,0,17,0,72,1,10,0,1.0,647472,0,0.043681753875199736,0.01289827452996286,0.019239171711047505,0.9241807998837784
145,45,4,0,2,0,67722,1,1,0,18,1,177,1,287,0,2.0,1693050,0,0.0024718721562779072,0.0012837536718464451,-0.0005428881335136186,0.9967872623053899
146,41,6,1,1,0,27443,0,1,0,13,7,14,4,592,0,2.0,576303,0,0.009543851848075074,-0.0028655396689155482,0.0005190482503846239,0.9928026395704624
147,35,9,1,2,0,11110,1,0,0,27,7,121,1,570,0,1.0,166650,0,0.01524561258187325,0.009617382122738043,0.00330513439312171,0.9718318709022652
148,43,5,1,1,0,93729,1,0,2,26,7,259,2,294,0,3.0,2155767,0,0.0012474208110279245,-0.0013210949915620218,-0.0006037349848483538,1.000677409165382
149,35,4,1,2,0,1504,1,0,0,17,0,87,1,164,0,2.0,22560,0,0.4036479584518399,0.07533087531129329,0.02269564570686878,0.49832552053002366
150,32,0,1,1,0,-5982,1,0,0,21,8,101,1,210,1,2.0,-71784,101,0.5932630753853205,0.29636033816921137,0.10638346221806937,0.003993124227396616
151,49,6,1,3,0,52535,0,0,0,5,7,14,1,709,0,2.0,1523515,0,-0.004309289679399739,0.02356466386745224,0.03413843165661274,0.9466061941553349
152,56,4,0,3,0,50723,0,0,2,20,5,177,2,194,0,2.0,1826028,0,0.00012079571166938308,-0.00047250397467496486,0.0010061251694565322,0.9993455830935487
153,32,0,2,1,0,14902,1,0,0,3,0,72,1,110,0,2.0,178824,0,0.02904220801001947,0.034048713033156056,0.007222370623653083,0.929686708333187
154,31,0,2,1,0,78862,0,0,0,8,0,158,1,728,0,2.0,867482,0,0.006209960331514899,0.004894224245983413,0.010718324712009637,0.9781774907104903
155,44,4,1,2,0,23679,0,0,0,14,1,158,2,462,0,2.0,568296,0,0.0038300178445027644,-9.027745895177214e-05,0.0010211085232756621,0.9952391510911724
156,31,1,1,1,0,84797,1,0,2,15,7,152,1,87,0,1.0,932767,0,0.0005045678685848681,0.0007603828166256148,0.00015246951867873074,0.9985825797961102
157,40,1,1,1,0,73622,1,0,2,30,7,126,1,693,0,1.0,1472440,0,0.002279127206711945,0.0027930347086422974,0.0011366568854723341,0.9937911811991714
158,30,2,1,2,0,53300,0,0,2,8,7,67,2,155,0,2.0,533000,0,0.00027388534029672285,-0.0012786376792396845,-0.00042630276449084903,1.0014310551034336
159,32,8,2,1,0,21482,0,0,2,20,5,177,1,91,0,3.0,257784,0,0.003252463470835687,0.0008523355600151099,0.0007498317236045784,0.9951453692455446
160,37,1,1,1,0,54814,1,0,0,8,7,755,1,628,0,1.0,931838,0,0.12390776015650352,0.010129428937192597,0.026512847736709415,0.8394499631696075
161,36,0,1,1,0,27228,1,0,0,27,7,345,1,719,0,2.0,435648,0,0.0008676169359878305,-0.00175636835739015,-0.0002736504336378759,1.0011624018550398
162,31,1,1,3,0,77672,1,0,1,12,4,158,1,715,0,1.0,854392,0,-0.011554826562565443,0.017989660908380268,0.050459683719308514,0.9431054819348784
163,31,1,2,1,0,-5415,1,0,2,15,7,345,4,631,0,1.0,-59565,0,0.0010906598458082367,-0.0007501915765742301,-0.0003277421254299709,0.9999872738561957
164,49,6,1,2,0,81485,0,0,0,29,1,158,2,457,0,2.0,2363065,0,0.00233227685802688,0.0028509164479305175,-0.00023293554379854794,0.9950497422378421
165,40,3,2,1,0,93127,0,0,0,15,4,158,1,368,0,2.0,1862540,0,0.002746839689253905,0.004016807125133519,0.0005755154696594836,0.9926608377159526
166,51,4,0,2,0,43890,0,0,0,8,1,48,2,588,0,2.0,1360590,0,0.00482891386614899,0.00033612270334515415,0.003239644472246511,0.9915953189582593
167,39,4,1,2,0,86051,1,0,2,23,7,121,1,648,0,2.0,1634969,0,0.0002626609897804638,-0.0006711701658126401,-0.00042966073191291754,1.000838169907946
168,31,1,1,0,0,34684,0,0,0,13,1,158,2,259,0,2.0,381524,0,0.0041031658434297485,0.0003332722306329944,0.00048455573619002323,0.9950790061897471
169,49,4,1,1,0,10166,1,1,0,4,0,14,2,377,0,2.0,294814,0,-0.004174182378954297,0.023323186972195632,0.0019437511421648967,0.9789072442646085
170,33,1,1,1,0,92951,1,0,0,27,7,345,1,442,0,1.0,1208363,0,0.00184366157876302,-0.0009406943391628911,-0.00032170479330669716,0.9994187375537064
