pred_1a,pred_1b,pred_1c,pred_1d,pred_1e
0.024547786,0.07879946,0.03,0.035043854,0.09176883
0.04769255,0.012841195,0.26,0.15315033,0.0143098235
0.1345993,0.037084967,0.21,0.10409366,0.038217276
0.10131264,0.09351364,0.12,0.12407863,0.065770686
0.08886858,0.08074656,0.13,0.1264284,0.07059181
0.06291435,0.10858017,0.0,0.06360824,0.052262217
0.03851911,0.0400424,0.13,0.026598984,0.050819576
0.018398762,0.032948017,0.0,0.025675919,0.027899027
0.045947872,0.027540416,0.0,0.024616083,0.026224792
0.05785213,0.062702686,0.01,0.06329247,0.08131853
0.00248057,0.006429255,0.0,0.0050196876,0.0079369545
0.020229919,0.012973577,0.02,0.020110311,0.016497076
0.017970147,0.0022110343,0.0,0.005369129,0.0037267804
0.05779903,0.01327607,0.02,0.028246583,0.015555441
0.091704495,0.06343719,0.34,0.112201445,0.0904997
0.005119426,0.013222307,0.0,0.058391247,0.01356557
0.021248473,0.0010008812,0.01,0.0064476505,0.0013643205
0.046065718,0.010732472,0.07,0.03686287,0.013849765
0.0104253115,0.02308634,0.03,0.06987512,0.0142664015
0.028581131,0.012705922,0.05,0.05571793,0.035187542
0.030894795,0.023014724,0.0,0.029509272,0.026711166
0.029668374,0.019093484,0.06,0.085573435,0.014302582
0.017375875,0.01930201,0.0,0.008373411,0.029843092
0.08417774,0.016679823,0.06,0.12699868,0.01507315
0.03398591,0.009176254,0.01,0.020767929,0.008042663
0.09109771,0.12379268,0.02,0.10963445,0.07070857
0.040715445,0.017915428,0.19,0.030395748,0.0179165
0.09739725,0.096309036,0.07,0.038296666,0.09787065
0.08586339,0.052917957,0.04,0.102644965,0.047407687
0.035116423,0.014299244,0.01,0.024508951,0.018151224
0.008487575,0.021618038,0.0,0.004510859,0.015618652
0.004739643,0.027021438,0.0,0.063087754,0.014548719
0.04794861,0.029947221,0.01,0.03016419,0.05485478
0.070158005,0.02670741,0.1,0.028712776,0.04221666
0.16048183,0.27147725,0.19,0.17475984,0.2974572
0.08557688,0.02742529,0.2,0.1533092,0.038796037
0.05193061,0.035536677,0.01,0.054724403,0.03074503
0.033720914,0.014326096,0.04,0.013166534,0.012253314
0.07638851,0.16281262,0.09,0.11647514,0.08487731
0.07761802,0.26217353,0.16,0.103317454,0.20510054
0.11683543,0.060079932,0.15,0.09256368,0.038264036
0.5071285,0.22673938,0.33,0.27743617,0.31866428
0.08492861,0.04455498,0.02,0.0422802,0.141922
0.24750805,0.37202668,0.57,0.3593295,0.33473682
0.46778914,0.42004055,0.15,0.3378202,0.4153952
0.09717012,0.15868464,0.03,0.11779122,0.1452167
0.030894795,0.016818553,0.0,0.011987144,0.023478478
0.03667169,0.022371322,0.01,0.058269884,0.02449289
0.08078193,0.059064537,0.1,0.05837465,0.045950085
0.07747173,0.06250486,0.02,0.047508072,0.09609589
0.09147063,0.00637722,0.03,0.12326724,0.007201314
0.00851033,0.026121557,0.0,0.0024013254,0.014928162
0.050071258,0.022367865,0.0,0.02634999,0.01709342
0.024918579,0.03974107,0.02,0.007507518,0.045374125
0.06535266,0.138342,0.04,0.12291531,0.08563995
0.17909464,0.2385568,0.13,0.18901841,0.1890268
0.03763657,0.088095665,0.03,0.1301421,0.102567464
0.026180359,0.045057118,0.01,0.095539264,0.051938772
0.08244822,0.040911198,0.05,0.06571385,0.046013772
0.13354984,0.13358098,0.16,0.054415144,0.07934967
0.015873717,0.0062202513,0.0,0.004255791,0.008934617
0.009513926,0.026340753,0.05,0.03208323,0.027057827
0.033689238,0.023266047,0.04,0.023238678,0.018074334
0.047335714,0.08062273,0.06,0.113705724,0.053517044
0.079404205,0.0116539,0.01,0.073894754,0.038318247
0.011413447,0.017110854,0.01,0.015147891,0.009893596
0.046086334,0.041793346,0.08,0.08464485,0.02779001
0.16604467,0.13067171,0.2,0.12060003,0.0939863
0.09403963,0.1600874,0.2,0.10934417,0.13621396
0.025676236,0.019815713,0.01,0.008241981,0.017634422
0.0037927888,0.025425315,0.0,0.0064327945,0.028567106
0.12283987,0.11421278,0.07,0.12874046,0.094325006
0.0024882797,0.004768938,0.0,0.0044003967,0.0060423017
0.002956903,0.0052268505,0.0,0.0556042,0.005260259
0.02694198,0.012658268,0.0,0.01025707,0.016577542
0.01173549,0.01392588,0.0,0.0060262065,0.014825702
0.015075898,0.033117563,0.05,0.022177486,0.018917352
0.90282136,0.7247823,0.87,0.753526,0.84390295
0.041384522,0.26156428,0.07,0.04394115,0.1639677
0.03918772,0.029672533,0.0,0.026503032,0.02957648
0.14954333,0.20968351,0.14,0.10943095,0.2416139
0.06887767,0.053450674,0.02,0.03206471,0.03638354
0.06618828,0.110584825,0.18,0.15094301,0.084665656
0.04693961,0.056225747,0.0,0.019504994,0.042634726
0.0022469256,0.009320408,0.0,0.004345459,0.010419011
0.04103078,0.02287504,0.08,0.056532238,0.025453955
0.042099897,0.017239064,0.05,0.10639598,0.03108424
0.05971071,0.0060396194,0.02,0.058986533,0.0068583786
0.23915166,0.21263847,0.24,0.21202128,0.29320621
0.021327714,0.02232948,0.03,0.06884275,0.026221156
0.047901444,0.03456688,0.01,0.026126575,0.026009351
0.21170081,0.23291558,0.35,0.44875184,0.13446176
0.031516477,0.016552716,0.07,0.085983984,0.014114857
0.11762639,0.15530133,0.05,0.13817221,0.13332838
0.020373607,0.010927618,0.0,0.010927149,0.011992276
0.027821353,0.080414146,0.0,0.018652504,0.05877468
0.22757101,0.103568584,0.08,0.19849491,0.19044402
0.03768163,0.014767677,0.03,0.022391617,0.02149421
0.116288014,0.25409734,0.05,0.16117492,0.20486304
0.015924256,0.015800834,0.0,0.014890576,0.020396441
0.008877391,0.002788633,0.0,0.0016034892,0.0035601258
0.13075094,0.0969266,0.01,0.12588118,0.062903374
0.0026312822,0.0048862994,0.0,0.004997118,0.0039072633
0.037632897,0.054749995,0.0,0.0493967,0.04320976
0.015477469,0.015120715,0.0,0.07887939,0.014490545
0.0448122,0.038811564,0.0,0.034517042,0.041300356
0.016697586,0.0019112229,0.0,0.004484396,0.003404051
0.118817516,0.02565357,0.05,0.07740538,0.024489015
0.039882466,0.032492816,0.03,0.009691071,0.055564433
0.09829594,0.33691877,0.16,0.12948337,0.45167768
0.0027385487,0.021804392,0.0,0.055968776,0.014120519
0.1593451,0.07120362,0.06,0.1480682,0.088923454
0.026224079,0.052940518,0.11,0.0432759,0.049195528
0.10255831,0.23901778,0.11,0.09846409,0.14974996
0.15540525,0.24479747,0.18,0.14477068,0.23010883
0.009631455,0.009501874,0.0,0.0019903774,0.009509772
0.0660189,0.0150074065,0.07,0.018850783,0.030429453
0.02219889,0.023621231,0.02,0.008915423,0.034165323
0.04538549,0.052570075,0.01,0.062755965,0.039105535
0.03146344,0.021684438,0.01,0.016412444,0.012120128
0.016825285,0.01184988,0.01,0.007656913,0.0048136413
0.0026337022,0.011428624,0.0,0.0063033877,0.018559933
0.0029020426,0.0085015,0.0,0.0056581376,0.0101569
0.37551397,0.37955797,0.28,0.43036485,0.44535625
0.032281622,0.006697893,0.01,0.016262015,0.011866003
0.044358797,0.026302695,0.04,0.04451012,0.021757811
0.002670969,0.007019937,0.0,0.005207705,0.007943779
0.0100589525,0.021000147,0.02,0.02647123,0.030391723
0.13087797,0.025489748,0.23,0.08516803,0.06999853
0.05588354,0.048998296,0.15,0.060439184,0.046252012
0.10200654,0.16684687,0.11,0.15712664,0.16824543
0.024751835,0.021371424,0.0,0.017748257,0.02460134
0.023335535,0.02093923,0.0,0.013309314,0.020739883
0.040286317,0.032006294,0.16,0.05387597,0.051617146
0.002970394,0.017448962,0.01,0.010440218,0.010811299
0.014290723,0.016824752,0.0,0.08164446,0.014273822
0.060382824,0.020508349,0.01,0.14096141,0.01897052
0.12975131,0.13790074,0.14,0.09986084,0.12539518
0.08740963,0.11421704,0.02,0.12605621,0.055448264
0.085559666,0.07102117,0.07,0.041339766,0.036145777
0.17078577,0.23390165,0.29,0.1848928,0.2752868
0.019379849,0.0055112243,0.03,0.027498297,0.006966293
0.03623933,0.037615806,0.02,0.030927578,0.039475232
0.093728505,0.033593804,0.15,0.09419202,0.04494098
0.2764871,0.40906554,0.41,0.366565,0.22769621
0.005234383,0.009272397,0.01,0.06459561,0.0040145516
0.03691028,0.007240355,0.02,0.026232015,0.004881382
0.065306425,0.030175358,0.04,0.0644137,0.034766525
0.042289507,0.03912735,0.02,0.036058586,0.04079795
0.9279678,0.84613407,0.89,0.8857291,0.9577905
0.018642591,0.01554364,0.01,0.023518918,0.0067498684
0.13719366,0.12570742,0.18,0.08424393,0.123122364
0.21726952,0.16807592,0.13,0.1946614,0.19307843
0.03396829,0.010930717,0.0,0.015968755,0.012304574
0.009271924,0.007806927,0.0,0.0043491367,0.0070798695
0.49385875,0.24551421,0.57,0.46661684,0.36641884
0.10468825,0.08706775,0.09,0.0811588,0.11277264
0.065893404,0.061702818,0.05,0.08597252,0.06985563
0.03130654,0.0030880868,0.0,0.018186653,0.008536577
0.04345767,0.060472965,0.06,0.036468565,0.051049173
0.084270015,0.027966857,0.1,0.091296285,0.017375171
0.046774343,0.07584688,0.06,0.04655166,0.0662711
0.0025519207,0.0063525736,0.0,0.0556042,0.0046844184
0.19962129,0.22270602,0.24,0.23311837,0.2598598
0.007939594,0.016530544,0.0,0.08344911,0.027120203
0.0043550897,0.013084233,0.04,0.057563238,0.011061698
0.014368802,0.018955797,0.0,0.010778358,0.015540659
0.05347468,0.08086255,0.11,0.04425687,0.0619303
0.06595134,0.06250292,0.06,0.061643846,0.049479276
0.04523538,0.05718109,0.09,0.10324834,0.07792795
0.8766255,0.7260151,0.86,0.84255177,0.75666904
0.00892202,0.005739033,0.01,0.0029780255,0.006025195
0.07963794,0.12131837,0.06,0.07472798,0.1481274
0.0476459,0.009666681,0.02,0.039000914,0.008880138
0.010201825,0.011593312,0.0,0.004364464,0.012469083
0.0022051067,0.0037691593,0.0,0.0051235757,0.0025289953
0.06855923,0.05941704,0.04,0.12421302,0.05911702
0.094424315,0.049401015,0.06,0.078711905,0.08700228
0.051977135,0.02606377,0.07,0.038630754,0.016693115
0.0033890922,0.024414808,0.0,0.055968776,0.019626856
0.04253462,0.016878426,0.02,0.019527838,0.020666808
0.024488145,0.023628473,0.0,0.017219894,0.03082472
0.03518356,0.02705115,0.04,0.04372838,0.027073085
0.033050887,0.07109618,0.18,0.033718675,0.05216223
0.11365002,0.12973809,0.13,0.22303165,0.11762148
0.033560295,0.0006687045,0.02,0.017313654,0.0018180013
0.20120744,0.18704987,0.27,0.28699857,0.25749832
0.07746661,0.16246688,0.07,0.08407309,0.17821681
0.052298747,0.14094177,0.05,0.055572208,0.1234304
0.015873717,0.0032407343,0.0,0.004345554,0.00603348
0.0073413774,0.032425046,0.0,0.058136337,0.02968508
0.047809985,0.0979031,0.1,0.07285976,0.063784
0.017185517,0.027147263,0.0,0.010492735,0.037564605
0.04949186,0.0028392673,0.04,0.022819338,0.010455728
0.06360664,0.06182939,0.03,0.09470061,0.028458118
0.08237603,0.13583702,0.16,0.044734247,0.10098776
0.03352009,0.025151908,0.07,0.043273386,0.034436047
0.0062627587,0.021318495,0.0,0.057180375,0.024136454
0.041935466,0.025790095,0.02,0.0363905,0.015494019
0.01857409,0.002073288,0.0,0.009293161,0.00302732
0.030894795,0.016768247,0.01,0.018494982,0.025969416
0.10520951,0.12459034,0.24,0.17396863,0.15231264
0.16255492,0.17887333,0.01,0.13617845,0.14575252
0.036828537,0.017083675,0.01,0.02112491,0.018663615
0.051294144,0.056340575,0.05,0.056420438,0.04521528
0.035151064,0.013714433,0.01,0.01127103,0.037015945
0.04452565,0.03696415,0.15,0.076968014,0.06115976
0.031163381,0.0071130097,0.02,0.013774037,0.009609044
0.047229253,0.018057078,0.03,0.030899711,0.019937396
0.04882598,0.0362477,0.02,0.08846568,0.0374133
0.023186581,0.03709948,0.01,0.009655838,0.02950415
0.09834671,0.049692303,0.05,0.12046743,0.04682654
0.014554449,0.00915733,0.0,0.06580416,0.006346822
0.032496538,0.007409662,0.0,0.016239008,0.008746535
0.0024839786,0.0032697022,0.0,0.0050469153,0.0036621094
0.01015883,0.022032768,0.0,0.06664726,0.0262416
0.108669676,0.15809116,0.06,0.17293687,0.12158531
0.061607353,0.010401607,0.05,0.011430629,0.019397616
0.1279979,0.12727508,0.21,0.12168712,0.15607059
0.13424927,0.028600603,0.12,0.17969094,0.040545285
0.0034626073,0.008518875,0.0,0.0556042,0.008394927
0.11116466,0.11000633,0.05,0.09275991,0.10749534
0.08584036,0.107335806,0.25,0.09875731,0.18436188
0.011701587,0.012911975,0.24,0.15846556,0.01121062
0.004102997,0.0014877915,0.0,0.00740115,0.0038561225
0.04056124,0.008753866,0.01,0.022892252,0.017434388
0.009554624,0.0038953424,0.1,0.016111203,0.01161167
0.13492945,0.100940615,0.16,0.15435646,0.1001735
0.03288846,0.05237645,0.01,0.020466972,0.047799736
0.07199131,0.0638966,0.07,0.066558935,0.05955136
0.04431879,0.020455688,0.18,0.14415215,0.024966419
0.05002669,0.26237643,0.09,0.30161256,0.12395662
0.05127498,0.016146064,0.08,0.060845103,0.02232328
0.0077958205,0.004244745,0.02,0.076890714,0.005849749
0.12682988,0.054602593,0.08,0.117394276,0.041120082
0.05655556,0.05793801,0.07,0.14594136,0.048580915
0.012907521,0.0127005875,0.0,0.08258777,0.012562722
0.001987552,0.0046619177,0.0,0.0043157493,0.0036547482
0.033498418,0.05126807,0.08,0.058466155,0.061193645
0.14632016,0.18322062,0.18,0.17262246,0.19936273
0.048355114,0.07807073,0.03,0.04407457,0.06169042
0.040838815,0.03891012,0.02,0.06504758,0.044371307
0.016619358,0.014282554,0.05,0.027800443,0.011463612
0.019535325,0.0007840991,0.0,0.013622194,0.0013367236
0.02188237,0.04027906,0.04,0.019393677,0.03855157
0.014992304,0.01721248,0.03,0.03283842,0.021052063
0.034598146,0.006051928,0.02,0.019129727,0.008555442
0.033326063,0.0029649436,0.02,0.028437734,0.0041888654
0.017532237,0.028538883,0.0,0.020409236,0.022980124
0.027792344,0.025312394,0.0,0.0300053,0.019188434
0.052698214,0.0448848,0.04,0.048799004,0.037514538
0.007964602,0.043180764,0.0,0.06236536,0.042939514
0.13144878,0.007872462,0.23,0.07703846,0.003290236
0.013169495,0.049936563,0.0,0.008380223,0.036292136
0.10389475,0.09114981,0.11,0.13901132,0.17050269
0.10209361,0.09148243,0.13,0.12563698,0.08139518
0.06935506,0.065592915,0.2,0.15662493,0.0719206
0.18988629,0.1517041,0.17,0.1453013,0.16842416
0.07300602,0.07059309,0.09,0.09065902,0.06409353
0.31851605,0.22598398,0.2,0.23692028,0.18728912
0.6840211,0.73333657,0.64,0.8199693,0.73973703
0.0049111233,0.0093586445,0.01,0.0086259525,0.008160889
0.12246329,0.12281698,0.06,0.06947523,0.1548303
0.04225469,0.10370609,0.12,0.045107085,0.07497209
0.001934948,0.013486624,0.0,0.0042588213,0.019828767
0.15582708,0.18536603,0.48,0.1949423,0.18749186
0.02112256,0.009288251,0.06,0.0040166597,0.0147254765
0.006548726,0.014583319,0.0,0.008040936,0.015681773
0.015812676,0.040009588,0.0,0.06311871,0.042152703
0.040914454,0.02993831,0.01,0.051495735,0.037445426
0.045793034,0.046387613,0.02,0.025246028,0.030921817
0.06445328,0.028605074,0.15,0.020145135,0.02513516
0.07317387,0.052348077,0.07,0.19270737,0.052306652
0.0334001,0.024637133,0.0,0.08567525,0.021082222
0.0027622394,0.0072814226,0.0,0.0556042,0.007962137
0.120132856,0.082291305,0.14,0.14265397,0.085288644
0.11403257,0.046904653,0.06,0.09522898,0.11493045
0.017477037,0.03035435,0.03,0.029421741,0.050177455
0.0033356054,0.011970878,0.0,0.007924341,0.0133315325
0.18893932,0.08334175,0.14,0.21370824,0.10129985
0.13336578,0.19675007,0.13,0.16026068,0.23285434
0.03247337,0.054618865,0.0,0.024731716,0.057480812
0.015430854,0.0026488006,0.01,0.005338367,0.0066619217
0.10101418,0.115567476,0.14,0.15349542,0.09918952
0.2693098,0.14586413,0.31,0.22395134,0.13994923
0.06316137,0.030268908,0.02,0.05873618,0.029106408
0.053176094,0.063832134,0.29,0.2929202,0.07668722
0.10561102,0.057620227,0.04,0.1467777,0.07586056
0.017276568,0.0043718815,0.0,0.008056632,0.0046321154
0.03566447,0.07732329,0.01,0.10242403,0.073277295
0.02125227,0.09442651,0.0,0.042174198,0.09423116
0.04378651,0.041060865,0.12,0.037782967,0.041784108
0.03086246,0.047884494,0.02,0.111705445,0.05278644
0.0037613378,0.022609293,0.0,0.0069072875,0.016730666
0.071057916,0.10867596,0.03,0.03941684,0.09955785
0.0028378062,0.0055836737,0.0,0.0556042,0.0051285625
0.044048104,0.03760624,0.16,0.052123465,0.028541297
0.11219797,0.11296004,0.08,0.05428148,0.13983437
0.02308396,0.0031434894,0.0,0.0045014475,0.0047064424
0.12153871,0.12803969,0.16,0.09835046,0.20480847
0.7505914,0.6306106,0.75,0.7831632,0.5495469
0.009957584,0.01549837,0.01,0.024617994,0.015273571
0.115820214,0.117130816,0.22,0.10166598,0.064879626
0.032383844,0.007006347,0.0,0.025374148,0.014752835
0.07411392,0.1397869,0.06,0.06990503,0.096126884
0.019617947,0.009724975,0.0,0.0056512766,0.012677461
0.088834055,0.17758703,0.08,0.13766903,0.15684399
0.0032772755,0.0078704655,0.0,0.0556042,0.0078089833
0.0639203,0.15822071,0.17,0.10724891,0.16584548
0.008467742,0.003971398,0.0,0.0018055935,0.0048269033
0.06536067,0.04278606,0.01,0.06117432,0.06655055
0.039996337,0.009081006,0.02,0.019648481,0.0076482594
0.0449391,0.043261945,0.02,0.03424698,0.05738938
0.046062473,0.0614627,0.15,0.041740548,0.07462895
0.002508881,0.0032112598,0.0,0.0042038686,0.0032616854
0.041214347,0.046536356,0.06,0.10781484,0.03457892
0.19344375,0.1555205,0.07,0.10817244,0.18690482
0.0044669313,0.0033574998,0.02,0.007951971,0.0057426393
0.017970147,0.0021997392,0.0,0.005080823,0.0037921667
0.005804876,0.0012088716,0.02,0.07481302,0.00076699257
0.09739312,0.026822954,0.15,0.03341334,0.025616258
0.04573834,0.016700953,0.01,0.03472557,0.017959416
0.0538267,0.0015033185,0.07,0.0789071,0.0030135512
0.016378732,0.0031937957,0.07,0.00789585,0.008463919
0.02852644,0.033570766,0.02,0.036228463,0.030264348
0.06524811,0.011372924,0.05,0.044287805,0.013817221
0.02628028,0.023103029,0.06,0.028660925,0.03547108
0.026832089,0.016494513,0.0,0.017447233,0.019768596
0.2589316,0.23813045,0.23,0.25176725,0.16852939
0.09682782,0.10892716,0.06,0.1591327,0.14334288
0.1826219,0.18832633,0.17,0.2677162,0.2532995
0.069849506,0.017086625,0.07,0.075001806,0.01738593
0.020872451,0.018214881,0.0,0.010589092,0.020963758
0.06814678,0.10132012,0.04,0.02509375,0.077838
0.0028089802,0.0047032237,0.0,0.00524897,0.0035181642
0.0028346288,0.004518509,0.0,0.0556042,0.0037411451
0.2231066,0.33026668,0.22,0.18013255,0.3594958
0.01644206,0.014516085,0.06,0.01920096,0.010992438
0.11372706,0.06173274,0.14,0.096540846,0.11803353
0.015873717,0.0039756,0.0,0.0038411845,0.0062865615
0.0023341142,0.004739493,0.0,0.0556042,0.005234301
0.1531129,0.061505258,0.25,0.171512,0.08472195
0.012274078,0.0032908916,0.0,0.004008869,0.0044504106
0.44637454,0.3441221,0.39,0.546136,0.3608446
0.025578873,0.084889054,0.03,0.04439118,0.0711489
0.008220288,0.0017786622,0.0,0.0042966474,0.006508857
0.24741592,0.16980729,0.34,0.2302564,0.10275665
0.04980282,0.03171307,0.05,0.04405681,0.028167367
0.050476126,0.030992895,0.01,0.040544216,0.034416407
0.062853456,0.070583045,0.02,0.14135635,0.12907013
0.093804955,0.022318363,0.09,0.04351733,0.02718392
0.046202797,0.005759418,0.03,0.023572648,0.013919115
0.008903508,0.023388714,0.07,0.09024562,0.032408
0.124255635,0.1171695,0.03,0.028277142,0.13367304
0.085626155,0.0724861,0.05,0.056671415,0.05417621
0.016697586,0.0019085407,0.0,0.0038160835,0.003796786
0.008248122,0.018508762,0.0,0.0688078,0.017374933
0.027781626,0.008295625,0.01,0.020294556,0.0086194575
0.04663504,0.043810844,0.01,0.033221524,0.031589627
0.039242323,0.04417205,0.18,0.19138472,0.04154864
0.05489914,0.09746474,0.02,0.12035112,0.057666987
0.03067004,0.032423317,0.01,0.016423186,0.0333941
0.036167085,0.03508714,0.09,0.04540263,0.040180862
0.13931642,0.11825895,0.16,0.103968464,0.12911761
0.0712058,0.1439175,0.03,0.073680274,0.16322297
0.016785206,0.01536122,0.01,0.018427439,0.038113415
0.017970147,0.0096774995,0.0,0.005284682,0.009585798
0.030328898,0.024035543,0.01,0.03472228,0.025303066
0.1000599,0.076008946,0.11,0.06388935,0.13105917
0.003892108,0.033908933,0.0,0.0062033436,0.026411027
0.004563379,0.04494238,0.03,0.023490356,0.0505898
0.031718858,0.036409467,0.02,0.05060771,0.025923312
0.022521185,0.0070667267,0.01,0.0156125175,0.0127494335
0.045896444,0.01137948,0.05,0.050611433,0.030586988
0.020406768,0.05061075,0.06,0.035628553,0.059180915
0.047475833,0.015467405,0.03,0.039833605,0.016096592
0.08614767,0.03321764,0.05,0.036055326,0.058157623
0.023855811,0.0298841,0.07,0.041597623,0.034943223
0.2197732,0.24799764,0.28,0.21955045,0.22492275
0.033182647,0.04529077,0.04,0.045973968,0.041662067
0.02713703,0.03041485,0.13,0.07820478,0.062517315
0.13124385,0.036262304,0.24,0.12435394,0.051109135
